"filename", "language", "C++", "CMake", "JSON5", "JSON", "Python", "Markdown", "hetu", "YAML", "Dart", "XML", "comment", "blank", "total"
"e:\_dev\heavenly-tribulation\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\_dev\heavenly-tribulation\KNOWN_ISSUES.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\_dev\heavenly-tribulation\README.md", "Markdown", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 22, 44
"e:\_dev\heavenly-tribulation\TIPS.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"e:\_dev\heavenly-tribulation\TODO.md", "Markdown", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 51, 109
"e:\_dev\heavenly-tribulation\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 22, 3, 34
"e:\_dev\heavenly-tribulation\assets\data\animation.json5", "JSON5", 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 3, 1, 369
"e:\_dev\heavenly-tribulation\assets\data\card_affixes.json5", "JSON5", 0, 0, 441, 0, 0, 0, 0, 0, 0, 0, 22, 7, 470
"e:\_dev\heavenly-tribulation\assets\data\cards.json5", "JSON5", 0, 0, 1845, 0, 0, 0, 0, 0, 0, 0, 59, 8, 1912
"e:\_dev\heavenly-tribulation\assets\data\craftables.json5", "JSON5", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 10, 1, 116
"e:\_dev\heavenly-tribulation\assets\data\items.json5", "JSON5", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 14, 7, 112
"e:\_dev\heavenly-tribulation\assets\data\journals.json5", "JSON5", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 11, 2, 30
"e:\_dev\heavenly-tribulation\assets\data\map_components.json5", "JSON5", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 9, 1, 16
"e:\_dev\heavenly-tribulation\assets\data\maps.json5", "JSON5", 0, 0, 8348, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8349
"e:\_dev\heavenly-tribulation\assets\data\passive_tree.json5", "JSON5", 0, 0, 1491, 0, 0, 0, 0, 0, 0, 0, 37, 23, 1551
"e:\_dev\heavenly-tribulation\assets\data\passives.json5", "JSON5", 0, 0, 940, 0, 0, 0, 0, 0, 0, 0, 57, 31, 1028
"e:\_dev\heavenly-tribulation\assets\data\passives_dungeon.json5", "JSON5", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"e:\_dev\heavenly-tribulation\assets\data\quests.json5", "JSON5", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 15, 2, 61
"e:\_dev\heavenly-tribulation\assets\data\sprite_sheet.json5", "JSON5", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\_dev\heavenly-tribulation\assets\data\status_effect.json5", "JSON5", 0, 0, 783, 0, 0, 0, 0, 0, 0, 0, 43, 19, 845
"e:\_dev\heavenly-tribulation\assets\data\techs.json5", "JSON5", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\_dev\heavenly-tribulation\assets\data\tiles.json5", "JSON5", 0, 0, 458, 0, 0, 0, 0, 0, 0, 0, 0, 1, 459
"e:\_dev\heavenly-tribulation\assets\images\mini_game\difference\library\10\config.json5", "JSON5", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\_dev\heavenly-tribulation\assets\images\mini_game\difference\library\11\config.json5", "JSON5", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\_dev\heavenly-tribulation\assets\images\mini_game\difference\library\12\config.json5", "JSON5", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\_dev\heavenly-tribulation\assets\images\mini_game\difference\library\13\config.json5", "JSON5", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122
